"172","BESNY ET LOIZY","2870"
"173","BILLY SUR AISNE","2200"
"174","LE CATELET","2420"
"175","CERNY LES BUCY","2870"
"176","CHAILLEVOIS","2000"
"177","LA CHAPELLE SUR CHEZY","2570"
"178","COMMENCHON","2300"
"179","DAMMARD","2470"
"180","DOMMIERS","2600"
"181","FERE EN TARDENOIS","2130"
"182","FORESTE","2590"
"183","GLAND","2400"
"184","IVIERS","2360"
"185","LA MALMAISON","2190"
"186","MEZY MOULINS","2650"
"187","MONAMPTEUIL","2000"
"188","OSLY COURTIL","2290"
"189","COS","9000"
"190","COUTENS","9500"
"191","ESPLAS DE SEROU","9420"
"192","ILLARTEIN","9800"
"193","LABATUT","9700"
"194","MADIERE","9100"
"195","PRAT BONREPAUX","9160"
"196","RIVERENERT","9200"
"197","SEGURA","9120"
"198","VILLENEUVE DU PAREAGE","9100"
"199","ARRENTIERES","10200"
"200","BEUREY","10140"
"201","BAURECH","33880"
"202","BRACH","33480"
"203","CANTOIS","33760"
"204","CASTELVIEL","33540"
"205","CUSSAC FORT MEDOC","33460"
"206","FLOUDES","33190"
"207","GANS","33430"
"208","GENISSAC","33420"
"209","GORNAC","33540"
"210","JAU DIGNAC ET LOIRAC","33590"
"211","LISTRAC MEDOC","33480"
"212","LUSSAC","33570"
"213","PESSAC SUR DORDOGNE","33890"
"214","PORTETS","33640"
"215","LE PUY","33580"
"216","ST CHRISTOLY MEDOC","33340"
"217","ST CHRISTOPHE DE DOUBLE","33230"
"218","STE HELENE","33480"
"219","ST LOUBERT","33210"
"220","ST VIVIEN DE MEDOC","33590"
"221","SALLEBOEUF","33370"
"222","SAVIGNAC","33124"
"223","TABANAC","33550"
"224","TALAIS","33590"
"225","LA TESTE DE BUCH","33115"
"226","VENSAC","33590"
"227","AZILLANET","34210"
"228","BEAUFORT","34210"
"229","LA CAUNETTE","34210"
"230","CAUX","34720"
"231","CERS","34420"
"232","LE CROS","34520"
"233","FRONTIGNAN","34110"
"234","LIAUSSON","34800"
"235","MOUREZE","34800"
"236","PIERRERUE","34360"
"237","ST GENIES DE FONTEDIT","34480"
"238","SETE","34200"
"239","VIOLS LE FORT","34380"
"240","BOVEL","35330"
"241","CHAUVIGNE","35490"
"242","DOL DE BRETAGNE","35120"
"243","ST PEVER","22720"
"244","STE TREPHINE","22480"
"245","ST IGEAUX","22570"
"246","TRELEVERN","22660"
"247","BETETE","23270"
"248","LA CELLE SOUS GOUZON","23230"
"249","LA CHAPELLE ST MARTIAL","23250"
"250","CHATELUS LE MARCHEIX","23430"
"251","PUY MALSIGNAT","23130"
"252","ROCHES","23270"
"253","ST AMAND JARTOUDEIX","23400"
"254","ST CHABRAIS","23130"
"255","ST DIZIER LA TOUR","23130"
"256","ST GEORGES LA POUGE","23250"
"257","ST ORADOUX DE CHIROUZE","23100"
"258","ST PRIEST LA FEUILLE","23300"
"259","LA CHAPELLE AUBAREIL","24290"
"260","CHENAUD","24410"
"261","EYLIAC","24330"
"262","GOUT ROSSIGNOL","24320"
"263","LABOUQUERIE","24440"
"264","LA FORCE","24130"
"265","LARZAC","24170"
"266","LAVEYSSIERE","24130"
"267","LEGUILLAC DE L AUCHE","24110"
"268","LIORAC SUR LOUYRE","24520"
"269","LOUBEJAC","24550"
"270","MARNAC","24220"
"271","MENESPLET","24700"
"272","MONPAZIER","24540"
"273","LA ROCHEBEAUCOURT ET ARGENTINE","24340"
"274","ST CASSIEN","24540"
"275","ST MICHEL DE MONTAIGNE","24230"
"276","ST PARDOUX DE DRONE","24600"
"277","SENCENAC PUY DE FOURCHES","24310"
"278","THENON","24210"
"279","ARCON","25300"
"280","BAVANS","25550"
"281","BELMONT","25530"
"282","BUSY","25320"
"283","ST JULIA DE BEC","11500"
"284","SERRES","11190"
"285","TRASSANEL","11160"
"286","TREZIERS","11230"
"287","ESPALION","12500"
"288","LA FOUILLADE","12270"
"289","GALGAN","12220"
"290","MANHAC","12160"
"291","MARTRIN","12550"
"292","MURET LE CHATEAU","12330"
"293","MUROLS","12600"
"294","TAUSSAC","12600"
"295","GREASQUE","13850"
"296","MAILLANE","13910"
"297","LANGOUET","35630"
"298","MONTREUIL SUR ILLE","35440"
"299","PARCE","35210"
"300","RETIERS","35240"
"301","TIVIERS","15100"
"302","BESSE","15140"
"303","AMBLEVILLE","16300"
"304","ANSAC SUR VIENNE","16500"
"305","AUBETERRE SUR DRONNE","16390"
"306","CHENON","16460"
"307","DIRAC","16410"
"308","EPENEDE","16490"
"309","ERAVILLE","16120"
"310","GOND PONTOUVRE","16160"
"311","LONDIGNY","16700"
"312","MAREUIL","16170"
"313","MARSAC","16570"
"314","MONTBOYER","16620"
"315","MONTJEAN","16240"
"316","GRAVES ST AMANT","16120"
"317","AUGE ST MEDARD","16170"
"318","ST QUENTIN DE CHALAIS","16210"
